name,condition,trending_price_type,trending_price_amount,price,shipping_cost,items_left,watching
MXL -USB007 Condenser Cable Professional Microphone,Pre-Owned,,,$45.00,,,
Blue Microphones - Yeti Professional USB Microphone,Brand New,Was,249.99,Tap item to see current priceSee Price,Free Shipping,,
Blue Microphones Yeti Studio Professional USB Vocal Recording System FREE SHIP,Brand New,,,$149.99,Free Shipping,,
Blue Yeti Blackout Ultimate USB Microphone For Professional Recording,Brand New,,,$149.99,Free Shipping,,
YETI BLUE MICROPHONE PROFESSIONAL PODCAST USB DESK MIC,Brand New,,,$119.00,,,
Blue Microphones Yeti Professional USB Condenser Microphone - Space Grey,Refurbished,Was,98.00,$88.20,Free Shipping,,
Blue Microphones Yeti Professional USB Condenser Microphone - Midnight Blue,Open box,,,$95.99,Free Shipping,,
MXL -USB006 Condenser Cable Professional Microphone,Pre-Owned,,,$60.15,,,
New ListingYeti Blue Microphone-Silver. Ultimate USB microphone for Professional Recording,Brand New,,,$119.99,,,
Blue BLACKOUT YETI Professional Microphone + Assassin’s Creed Game Code @NEW@,Brand New,,,$145.98,Free Shipping,,
Senal UB-440 Professional USB Microphone,Brand New,,,$114.12,,,
SoundTech GN-USB-2 Professional Gooseneck Microphone with USB cord,Open box,,,$45.00,,,
USB Condenser Studio Sound Recording Microphone Mic + Shock Tripod Professional,Brand New,List price,27.97,$14.97,Free Shipping,,
"New Vokal Professional VLR-502 Wireless Microphones System - 2 Mics, USB Charger",Brand New,,,$189.99,Free Shipping,,
Studio Condenser Microphone Kit Professional USB Audio Set For Podcast Recording,Brand New,,,$47.99,Free Shipping,,
Blue Yeti Professional Multi-Pattern USB Condenser Microphone - Blackout,Pre-Owned,,,$70.00,,,
Blue Yeti Professional Multi-Pattern USB Condenser Microphone - Blackout,Open box,,,$90.00,,,
NEW Blue Microphones 0496 Professional Multi-Pattern USB Mic for Recording,Brand New,,,$106.98,,,
Blue Yeti Professional Multi-Pattern USB Condenser Microphone - Blackout,Open box,,,$119.95,Free Shipping,,
"Blue Microphones Snowball, Professional USB Condenser Microphone, Aluminum",Brand New,,,$69.99,Free Shipping,,
New ListingBlue Yeti Professional Multi-Pattern USB Condenser Microphone - Blackout,Open box,,,$70.00,,,
Blue Microphones Yeti Professional USB Condenser Microphone - Space Grey,Open box,,,$75.00,,,
"MXL Professional Series USB Microphone w/Tripoid Stand, Manual, and Box ",Pre-Owned,,,$65.00,,,
"Sound Professionals Mono/Stereo USB Mic Mic w/Noise Cancellation & Headpho, New!",Brand New,,,$129.00,Free Shipping,,
Usb Microphone Condenser Studio Mic Professional Audio Recording Pc Podcast New,Brand New,,,$174.95,Free Shipping,,
Rode Podcaster Dynamic Cable Professional Microphone,Brand New,,,$185.00,,,
